id,title,title_fr,slug,path,country,latlng,source,type
locations:lbn_a3_0096,Aamayer,,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.61874158, ""lng"":36.37676932}",OCHA,node
locations:lbn_a3_0097,Aamchit,,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.14617503, ""lng"":35.64229355}",OCHA,node
locations:lbn_a3_0098,Aamchki,,[lbn],"[lbn,lbn_a1_02,lbn_a2_04]",,"{""lat"":33.99370591, ""lng"":36.30648295}",OCHA,node
locations:lbn_a3_0099,Aammatour,,[lbn],"[lbn,lbn_a1_06,lbn_a2_08]",,"{""lat"":33.6136884, ""lng"":35.59529208}",OCHA,node
locations:lbn_a3_0100,"Aammiq BG",,[lbn],"[lbn,lbn_a1_04,lbn_a2_24]",,"{""lat"":33.72446092, ""lng"":35.79076619}",OCHA,node
locations:lbn_a3_0101,"Aammiq Ech-Chouf",,[lbn],"[lbn,lbn_a1_06,lbn_a2_08]",,"{""lat"":33.71871463, ""lng"":35.59062229}",OCHA,node
locations:lbn_a3_0102,Aamra,,[lbn],"[lbn,lbn_a1_07,lbn_a2_19]",,"{""lat"":33.26874548, ""lng"":35.60521271}",OCHA,node
locations:lbn_a3_0103,"Aamriyet Aakkar",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.60131606, ""lng"":36.22386755}",OCHA,node
locations:lbn_a3_0104,Aana,,[lbn],"[lbn,lbn_a1_04,lbn_a2_24]",,"{""lat"":33.68340616, ""lng"":35.769098}",OCHA,node
locations:lbn_a3_0105,Aandqet,,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.57062736, ""lng"":36.3085342}",OCHA,node
locations:lbn_a3_0106,"Aanjar (Haouch Moussa)",,[lbn],"[lbn,lbn_a1_04,lbn_a2_25]",,"{""lat"":33.74040429, ""lng"":35.932364}",OCHA,node
locations:lbn_a3_0107,Aanout,,[lbn],"[lbn,lbn_a1_06,lbn_a2_08]",,"{""lat"":33.62503612, ""lng"":35.51306867}",OCHA,node
locations:lbn_a3_0108,Aanqoun,,[lbn],"[lbn,lbn_a1_09,lbn_a2_21]",,"{""lat"":33.49940426, ""lng"":35.42828638}",OCHA,node
locations:lbn_a3_0109,"Aaouaainat Aakkar",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.62786081, ""lng"":36.30216328}",OCHA,node
locations:lbn_a3_0110,"Aaqabet Rachaya",,[lbn],"[lbn,lbn_a1_04,lbn_a2_20]",,"{""lat"":33.51129166, ""lng"":35.80806499}",OCHA,node
locations:lbn_a3_0111,"Aaqaibeh Kesrouane",,[lbn],"[lbn,lbn_a1_05,lbn_a2_18]",,"{""lat"":34.0521065, ""lng"":35.64812903}",OCHA,node
locations:lbn_a3_0112,Aaqoura,,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.11783577, ""lng"":35.94787116}",OCHA,node
locations:lbn_a3_0113,Aaqtanit,,[lbn],"[lbn,lbn_a1_09,lbn_a2_21]",,"{""lat"":33.49194353, ""lng"":35.38473301}",OCHA,node
